ticker,close,pct_change,sma20,ema20,atr14,rsi14,macd,macd_signal,bb_upper,bb_lower,vwap,real_vol_30
STZ,165.995,0.020,166.450,166.834,3.742,39.076,-4.007,-4.537,177.128,155.772,174.110,0.236
QCOM,160.170,0.006,154.973,155.277,3.245,52.401,2.041,1.641,162.964,146.981,151.212,0.247
MSFT,493.395,-0.008,480.121,482.067,6.768,72.829,8.689,7.592,502.371,457.870,464.867,0.130
NOC,501.630,0.003,494.660,493.374,12.016,56.296,3.206,3.311,509.744,479.577,485.922,0.224
ORCL,220.160,0.007,197.935,200.791,9.278,75.219,11.838,11.017,236.232,159.637,189.383,0.503
CVS,69.550,0.008,66.280,66.697,1.451,76.476,1.226,0.967,70.258,62.302,64.577,0.207
CAT,391.780,0.009,364.834,368.459,6.771,78.733,9.145,6.434,390.787,338.881,353.600,0.185
KRE,61.585,0.037,57.905,58.299,1.254,63.021,0.619,0.224,60.730,55.080,57.753,0.247
TLT,88.095,-0.002,86.631,86.908,0.934,64.997,0.506,0.325,88.514,84.749,86.193,0.133
BUD,69.180,0.007,70.461,69.878,0.961,43.214,-0.151,0.181,72.562,68.359,69.324,0.156
UBER,91.395,-0.020,87.006,88.424,2.790,61.295,1.378,0.564,94.120,79.893,87.062,0.341
GDX,52.260,0.004,52.573,52.063,1.263,53.624,0.303,0.531,54.372,50.775,50.609,0.326
PLD,107.670,0.024,107.111,106.675,2.382,44.121,-0.461,-0.406,110.422,103.800,107.197,0.217
IWM,219.649,0.018,212.189,212.396,3.327,59.624,2.196,1.600,218.403,205.976,208.511,0.181
TTD,74.375,0.033,70.839,70.999,3.046,54.084,-0.300,-0.639,75.561,66.117,70.502,0.407
NVDA,154.205,-0.024,146.536,147.409,3.632,66.776,4.870,4.031,158.213,134.859,137.459,0.285
SCHD,27.055,0.021,26.642,26.583,0.293,52.425,0.067,0.079,27.167,26.117,26.362,0.135
LMT,465.595,0.005,470.699,467.797,14.051,45.237,-2.956,-1.915,489.825,451.573,469.916,0.280
TMDX,131.950,-0.015,134.210,131.527,5.838,39.468,1.027,1.844,146.897,121.522,121.890,0.436
COST,984.520,-0.005,999.445,995.989,14.720,39.451,-7.536,-7.089,1043.260,955.630,1009.343,0.200
TFLO,50.460,-0.004,50.563,50.579,0.028,38.246,0.005,0.009,50.668,50.458,50.566,0.016
DLTR,101.010,0.020,96.969,97.041,2.431,72.175,2.210,2.151,103.000,90.939,92.233,0.478
AMAT,183.830,0.004,173.916,175.412,4.622,64.003,4.589,3.623,188.310,159.522,167.884,0.285
RSP,183.970,0.012,179.081,179.365,1.936,63.833,1.158,0.732,182.509,175.653,177.648,0.127
FCX,44.290,0.022,41.857,41.910,1.236,59.260,0.953,0.729,44.346,39.368,40.147,0.344
USD,71.130,-0.039,64.997,65.733,2.920,67.316,3.880,3.203,74.436,55.558,57.709,0.487
KRBN,30.010,0.011,30.122,30.057,0.525,53.927,0.135,0.213,31.000,29.243,29.664,0.167
PDBC,13.075,0.003,13.215,13.170,0.217,53.181,0.047,0.105,13.893,12.538,13.033,0.195
PG,160.750,0.009,161.301,160.986,2.013,43.769,-1.030,-0.973,166.214,156.387,162.115,0.137
SPY,618.080,0.000,602.889,603.962,5.731,65.388,6.112,4.645,618.151,587.626,592.916,0.120
VCSH,79.165,-0.004,79.002,79.091,0.151,65.133,0.142,0.108,79.542,78.463,78.833,0.028
AAPL,208.090,0.014,200.976,201.697,3.975,59.755,0.517,-0.387,207.005,194.948,202.215,0.210
EIX,52.470,0.017,51.069,51.548,1.375,58.927,-0.727,-1.105,55.154,46.985,52.709,0.362
JNJ,155.345,0.017,153.673,153.241,2.244,46.638,-0.186,-0.234,157.813,149.533,153.078,0.125
PM,178.350,-0.021,182.102,181.113,3.206,48.408,0.706,1.383,185.852,178.352,177.541,0.167
GLD,307.435,0.009,308.664,307.444,3.906,51.037,-0.132,0.592,315.329,301.998,305.816,0.184
ELV,396.365,0.019,381.356,382.271,8.138,61.535,-0.685,-2.676,395.266,367.445,386.663,0.257
MCD,296.945,0.016,297.541,296.538,5.011,45.617,-4.699,-5.017,314.822,280.260,303.414,0.148
O,57.800,0.003,57.201,57.238,0.821,54.237,0.292,0.312,58.686,55.717,56.636,0.132
DUK,118.110,0.001,116.265,116.561,1.709,59.653,0.211,-0.055,118.216,114.313,116.781,0.125
WM,228.740,-0.000,233.703,232.271,3.427,37.682,-1.620,-0.846,241.373,226.033,232.828,0.133
